"ProbeID","Symbol","EntrezID","GeneName","IQR"
"220951_s_at","A1CF","29974","APOBEC1 complementation factor",0.462812307580732
"217757_at","A2M","2","alpha-2-macroglobulin",0.40095654917567
"219488_at","A4GALT","53947","alpha 1,4-galactosyltransferase (P1PK blood group)",0.212253258338777
"221131_at","A4GNT","51146","alpha-1,4-N-acetylglucosaminyltransferase",0.0525896966425412
"218075_at","AAAS","8086","aladin WD repeat nucleoporin",0.0819002940689995
"218434_s_at","AACS","65985","acetoacetyl-CoA synthetase",0.149328544621098
"205969_at","AADAC","13","arylacetamide deacetylase",0.119467300630792
"202851_at","AAGAB","79719","alpha and gamma adaptin binding protein",0.396148361298942
"205434_s_at","AAK1","22848","AP2 associated kinase 1",0.338488824805087
"221599_at","AAMDC","28971","adipogenesis associated Mth938 domain containing",0.104086904047497
"201511_at","AAMP","14","angio associated migratory cell protein",0.118454811019726
"207225_at","AANAT","15","aralkylamine N-acetyltransferase",0.199027726002943
"218089_at","AAR2","25980","AAR2 splicing factor",0.119908345489258
"201000_at","AARS1","16","alanyl-tRNA synthetase 1",0.0914922503641939
"222064_s_at","AARSD1","80755","alanyl-tRNA synthetase domain containing 1",0.332031338395197
"202169_s_at","AASDHPPT","60496","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",1.39029844716022
"210852_s_at","AASS","10157","aminoadipate-semialdehyde synthase",0.251270679898315
"209165_at","AATF","26574","apoptosis antagonizing transcription factor",0.153445502999869
"205986_at","AATK","9625","apoptosis associated tyrosine kinase",0.314543450047903
"209460_at","ABAT","18","4-aminobutyrate aminotransferase",1.86588068169533
"203504_s_at","ABCA1","19","ATP binding cassette subfamily A member 1",1.34603637610472
"220159_at","ABCA11P","79963","ATP binding cassette subfamily A member 11, pseudogene",0.0364282517827323
"215465_at","ABCA12","26154","ATP binding cassette subfamily A member 12",0.444384528027425
"210099_at","ABCA2","20","ATP binding cassette subfamily A member 2",0.602965968927874
"204343_at","ABCA3","21","ATP binding cassette subfamily A member 3",0.10115861960877
"210082_at","ABCA4","24","ATP binding cassette subfamily A member 4",0.118219358753063
"213353_at","ABCA5","23461","ATP binding cassette subfamily A member 5",0.122533016021872
"217504_at","ABCA6","23460","ATP binding cassette subfamily A member 6",0.0629451785103892
"219577_s_at","ABCA7","10347","ATP binding cassette subfamily A member 7",0.374297849200518
"204719_at","ABCA8","10351","ATP binding cassette subfamily A member 8",0.171678130584849
"209993_at","ABCB1","5243","ATP binding cassette subfamily B member 1",2.23597775382004
"211224_s_at","ABCB11","8647","ATP binding cassette subfamily B member 11",0.198715419504875
"207819_s_at","ABCB4","5244","ATP binding cassette subfamily B member 4",0.747898642142234
"203192_at","ABCB6","10058","ATP binding cassette subfamily B member 6 (LAN blood group)",0.167022303072738
"209620_s_at","ABCB7","22","ATP binding cassette subfamily B member 7",0.0605376468021221
"206317_s_at","ABCB8","11194","ATP binding cassette subfamily B member 8",0.249566555673333
